,job_tags
8864,['TypeScript' 'Cocos2d-X' 'Cocos Creator']
6784,['Photoshop' 'Microsoft Office' 'Excel']
7595,['CakeResume 2023 Career Fair' '記者' '編輯']
7419,[]
9353,['illustrator' 'photoshop']
7247,['Word' 'PowerPoint' 'Excel']
8210,['化妝品' '業務' '業務開發']
9790,['Linux' 'Windows Server 2019']
8811,['C#' 'Java' 'Python']
3641,[]
8160,['國外業務' '通路開發人員' '國內業務']
100,[]
28,[]
1316,['PLC' 'SCADA' 'SFC']
74,['Semiconductor' 'Technology' 'high-tech']
10416,['FinTech' 'SaaS Project Management' 'Scrum']
10162,[]
6375,['Excel' 'PowerPoint' 'Word']
3984,['Python' 'Django' 'JavaScript']
11030,['Linux' 'VMware']
10664,[]
2972,['WebSocket' 'Spring' 'Spring Boot']
7494,['Google Analytics' 'google analytics' 'Google AdWords']
8459,['Word' 'Excel']
8015,[]
9363,['網站行銷' '社群行銷' '社群經營']
1870,[]
8085,[]
8563,['startup' 'Sports' 'Product Design']
10467,['Word' 'Excel']
7124,['word' 'google drive' 'excel']
4950,['10491台灣台北市中山區' 'Fintech' '測試工程師']
4906,['CakeResume 2023 Career Fair']
4479,[]
2005,[]
3200,['Rails']
10024,['Communication' 'Advertising' 'Planning & Scheduling']
9535,['PowerPoint' 'Excel' 'Word']
5234,[]
11405,['Frontend Development' 'Frontend Engineering' 'Supervisor']
3197,['ES6' 'NodeJs' 'Redis']
7104,['Photoshop' 'Excel' 'powerpoint']
6954,['word' 'excel' 'photoshop']
10180,['產品介紹及解說銷售' '業績目標分配與績效達成' '業務或通路開發']
2223,['HR' 'HR Business Partner' 'HR Specialist']
7929,[]
2479,['Java' 'Android' 'App']
2385,['ADC' 'EQ' 'PLL']
664,[]
3469,['CakeResume 2023 Career Fair']
11476,[]
413,[]
1799,[]
1425,[]
5948,[]
2302,[]
3238,['華亞科學園區' '龜山區' '桃園']
4929,['SQA' 'App' 'Web']
3032,['PHP工程師' 'PHP' 'Laravel']
7173,['廣告企劃案╱文案撰寫' '廣告創意發想與提案' '廣告行銷']
4089,['JavaScript ES6/ES7' 'React' 'Node.js']
5592,[]
1984,[]
5548,['TCP/IP' 'HTTP' 'Linux']
3762,['CakeResume 2023 Career Fair']
3439,['Pytorch' 'Neo4jDB' 'MongoDB']
7688,[]
93,['AutoCAD' 'Word' 'PowerPoint']
7352,['illustrator' 'photoshop' 'Communication']
